# Golden hashes of the C++ oracle output, baked by `cargo xtask bake-goldens`.
# basisu/tests/goldens.rs replays these in pure Rust (no C++).
# Re-bake after re-vendoring upstream; review the diff.
# asset	target	flags	level	len	sha256
alpha3.basis	0	0	0	196608	a72d2819eb99393603dfb61e3ad2c635621eb288e78ad2aaa8bf22e1d9407c93
alpha3.basis	1	0	0	393216	614d0cfa19506324e43317643e8ea19911b9887fc76789429b1b8e2b71e267d1
alpha3.basis	2	0	0	196608	de83f14e645b70646c12c1635dfa4ee9af3dc6e0beed3f01bb8c5daa54e818e5
alpha3.basis	3	0	0	393216	6077778c42b48b24a67b92cd7f6ae3fe50f37bcb4537adac7999f3764d33c08a
alpha3.basis	4	0	0	196608	73eac02dfd4522d0e7c9708662ae02664ad904cb6fc4cbf000798f9d9c0ca6b2
alpha3.basis	5	0	0	393216	f67159c1ef875bf8d76f625233bbffbc3200f26b4e35ec8a5cf6d5fe1b1798a5
alpha3.basis	6	0	0	393216	80b111a73a619faa4aada7f4c3a9bfe6383d331e51361b3c38b2594a3beba9cd
alpha3.basis	6	64	0	393216	ca38ec66edf7b0bb9dcbcd65626e2ac1fdcc5ed1c7111c6959881e8ef84b8678
alpha3.basis	10	0	0	393216	e86c76dbaedbca794e323131d649133f377ee9c89799dc0686e8e081b2a61aaf
alpha3.basis	11	0	0	196608	b8a15725f1e576f2219df9d5424c7f82187bdc58a96650674f1125b4ceec1fa1
alpha3.basis	12	0	0	393216	19a24f06349c69af593f684e323476ac6798d491aff2e74a69ac5c03affe6c9d
alpha3.basis	13	0	0	1572864	cb162cc468dfc22efd964acd86059765485e3482dc1eef3d22d2487050ea689d
alpha3.basis	14	0	0	786432	f282736f545c7a99c2c1cff3ed657cdaba074fc5091cce3b18deda265ba4a8b4
alpha3.basis	15	0	0	786432	8d9d69de502fd776624eaab1fe2774a34d20d4708b5d16b6498f2433d7f8377b
alpha3.basis	16	0	0	786432	d6f29c3319c4693da981184f5c41dbe1573500e59ba5529d4cbf250c449a3797
alpha3.basis	17	0	0	393216	5ea853748d9af2d6241dc5ab4ad30132f2f2fb1da1f7fe3b50341bc35384b9f8
alpha3.basis	18	0	0	196608	4e295a089a50c48ce73d3bd5900b059b187d5b7487d6462c534fd256f198dd1d
alpha3.basis	19	0	0	196608	b7829d16f1d455d1172ba07858514eac0ac69547f760ea7613fb822f94d02f8b
alpha3.basis	20	0	0	196608	b19ba71a57af23dcb7f89e3f12cccb86d7da3075859f09786334652ef394372a
alpha3.basis	21	0	0	393216	3f1b040f8d697c8e354ead406a0500212a9d90e4f14d5b1a5d545dd02081018d
astc_12x12_unorm.ktx2	0	0	8	8	a764873c434ca5d0241e55137269b08b09fc0e4f7048c8b3d6b5fd0e947ed396
astc_12x12_unorm.ktx2	0	4	8	8	a764873c434ca5d0241e55137269b08b09fc0e4f7048c8b3d6b5fd0e947ed396
astc_12x12_unorm.ktx2	0	128	8	8	a764873c434ca5d0241e55137269b08b09fc0e4f7048c8b3d6b5fd0e947ed396
astc_12x12_unorm.ktx2	0	512	8	8	a764873c434ca5d0241e55137269b08b09fc0e4f7048c8b3d6b5fd0e947ed396
astc_12x12_unorm.ktx2	0	0	9	8	cc1699bd8e3c880618c41550309df47c0765ab06c0e667b720b644ac98b78ab4
astc_12x12_unorm.ktx2	0	4	9	8	cc1699bd8e3c880618c41550309df47c0765ab06c0e667b720b644ac98b78ab4
astc_12x12_unorm.ktx2	0	128	9	8	3e80872d1cfeffe6deeea85725be3203728c5dab06f1540f3bcb49955f021ddb
astc_12x12_unorm.ktx2	0	512	9	8	cc1699bd8e3c880618c41550309df47c0765ab06c0e667b720b644ac98b78ab4
astc_12x12_unorm.ktx2	0	0	10	8	ba1acb9b2aadfd5b70eb9256d0cb37b392aa4ef169289d40fd172e34fe8e2770
astc_12x12_unorm.ktx2	0	4	10	8	ba1acb9b2aadfd5b70eb9256d0cb37b392aa4ef169289d40fd172e34fe8e2770
astc_12x12_unorm.ktx2	0	128	10	8	ba1acb9b2aadfd5b70eb9256d0cb37b392aa4ef169289d40fd172e34fe8e2770
astc_12x12_unorm.ktx2	0	512	10	8	ba1acb9b2aadfd5b70eb9256d0cb37b392aa4ef169289d40fd172e34fe8e2770
astc_12x12_unorm.ktx2	1	0	8	16	879b4c004068fb26483341fdaf8b5aefec8dc89828ea0676fc86ffe4ac5d5f66
astc_12x12_unorm.ktx2	1	32	8	16	879b4c004068fb26483341fdaf8b5aefec8dc89828ea0676fc86ffe4ac5d5f66
astc_12x12_unorm.ktx2	1	128	8	16	879b4c004068fb26483341fdaf8b5aefec8dc89828ea0676fc86ffe4ac5d5f66
astc_12x12_unorm.ktx2	1	512	8	16	879b4c004068fb26483341fdaf8b5aefec8dc89828ea0676fc86ffe4ac5d5f66
astc_12x12_unorm.ktx2	1	0	9	16	fb5559f67045a114d715507348cdc73312698ce2cc3bf421f781d287f06a1144
astc_12x12_unorm.ktx2	1	32	9	16	fb5559f67045a114d715507348cdc73312698ce2cc3bf421f781d287f06a1144
astc_12x12_unorm.ktx2	1	128	9	16	be6f2faa9f6daab1e7d65a38ea2e79f6f4762639185280e8692e9437a6282a15
astc_12x12_unorm.ktx2	1	512	9	16	fb5559f67045a114d715507348cdc73312698ce2cc3bf421f781d287f06a1144
astc_12x12_unorm.ktx2	1	0	10	16	9e735423eb9e2e1144b35c247f54824339b6b5a90be0f9f80ae85808385a9d00
astc_12x12_unorm.ktx2	1	32	10	16	9e735423eb9e2e1144b35c247f54824339b6b5a90be0f9f80ae85808385a9d00
astc_12x12_unorm.ktx2	1	128	10	16	9e735423eb9e2e1144b35c247f54824339b6b5a90be0f9f80ae85808385a9d00
astc_12x12_unorm.ktx2	1	512	10	16	9e735423eb9e2e1144b35c247f54824339b6b5a90be0f9f80ae85808385a9d00
astc_12x12_unorm.ktx2	2	0	8	8	80fc794d2ba99b3759ee59fac343dceb20d4a844956c57562b7af39e51d31947
astc_12x12_unorm.ktx2	2	32	8	8	80fc794d2ba99b3759ee59fac343dceb20d4a844956c57562b7af39e51d31947
astc_12x12_unorm.ktx2	2	128	8	8	80fc794d2ba99b3759ee59fac343dceb20d4a844956c57562b7af39e51d31947
astc_12x12_unorm.ktx2	2	512	8	8	80fc794d2ba99b3759ee59fac343dceb20d4a844956c57562b7af39e51d31947
astc_12x12_unorm.ktx2	2	0	9	8	6ffad5800a3a59e076aaabbf45124e329806d86f2b9c75a815e2a4ba26e88854
astc_12x12_unorm.ktx2	2	32	9	8	6ffad5800a3a59e076aaabbf45124e329806d86f2b9c75a815e2a4ba26e88854
astc_12x12_unorm.ktx2	2	128	9	8	0ebcfee3c0e9b10703ebf6af5af0e4d651100496ea4d56442d27e88317e7bb75
astc_12x12_unorm.ktx2	2	512	9	8	6ffad5800a3a59e076aaabbf45124e329806d86f2b9c75a815e2a4ba26e88854
astc_12x12_unorm.ktx2	2	0	10	8	8f6bdba616f878f367430984f02f15a2d245f582c4ee5fcc9f7bc2da14f28ed1
astc_12x12_unorm.ktx2	2	32	10	8	8f6bdba616f878f367430984f02f15a2d245f582c4ee5fcc9f7bc2da14f28ed1
astc_12x12_unorm.ktx2	2	128	10	8	8f6bdba616f878f367430984f02f15a2d245f582c4ee5fcc9f7bc2da14f28ed1
astc_12x12_unorm.ktx2	2	512	10	8	8f6bdba616f878f367430984f02f15a2d245f582c4ee5fcc9f7bc2da14f28ed1
astc_12x12_unorm.ktx2	3	0	8	16	67b57da2cd3011dab782c063d0c6e24933c307164bd9bf99a0f8aa95ec831c02
astc_12x12_unorm.ktx2	3	32	8	16	67b57da2cd3011dab782c063d0c6e24933c307164bd9bf99a0f8aa95ec831c02
astc_12x12_unorm.ktx2	3	128	8	16	67b57da2cd3011dab782c063d0c6e24933c307164bd9bf99a0f8aa95ec831c02
astc_12x12_unorm.ktx2	3	512	8	16	67b57da2cd3011dab782c063d0c6e24933c307164bd9bf99a0f8aa95ec831c02
astc_12x12_unorm.ktx2	3	0	9	16	9871ee6ea6ed6e7447cd2d4f3e16e48d31f9491ff00555a45fd65fca80820bec
astc_12x12_unorm.ktx2	3	32	9	16	9871ee6ea6ed6e7447cd2d4f3e16e48d31f9491ff00555a45fd65fca80820bec
astc_12x12_unorm.ktx2	3	128	9	16	b5e016f2a432b4da5fcaf10b31bc21fb4ffe768eb23353065e4351a1ba096285
astc_12x12_unorm.ktx2	3	512	9	16	9871ee6ea6ed6e7447cd2d4f3e16e48d31f9491ff00555a45fd65fca80820bec
astc_12x12_unorm.ktx2	3	0	10	16	b9ab9f68208bef339ec5090824f10786593e5c28c414ac8a3893535834ad1d00
astc_12x12_unorm.ktx2	3	32	10	16	b9ab9f68208bef339ec5090824f10786593e5c28c414ac8a3893535834ad1d00
astc_12x12_unorm.ktx2	3	128	10	16	b9ab9f68208bef339ec5090824f10786593e5c28c414ac8a3893535834ad1d00
astc_12x12_unorm.ktx2	3	512	10	16	b9ab9f68208bef339ec5090824f10786593e5c28c414ac8a3893535834ad1d00
astc_12x12_unorm.ktx2	4	0	8	8	4838ad0a226e2586ecd6b192493fed3f7e3a1633e317e20376ec41732f74404e
astc_12x12_unorm.ktx2	4	4	8	8	4838ad0a226e2586ecd6b192493fed3f7e3a1633e317e20376ec41732f74404e
astc_12x12_unorm.ktx2	4	32	8	8	4838ad0a226e2586ecd6b192493fed3f7e3a1633e317e20376ec41732f74404e
astc_12x12_unorm.ktx2	4	128	8	8	4838ad0a226e2586ecd6b192493fed3f7e3a1633e317e20376ec41732f74404e
astc_12x12_unorm.ktx2	4	512	8	8	4838ad0a226e2586ecd6b192493fed3f7e3a1633e317e20376ec41732f74404e
astc_12x12_unorm.ktx2	4	0	9	8	ade57339571d8eb0d128f8e6392ef875ea0981f6c30c8d3316f4ed60529ea0e2
astc_12x12_unorm.ktx2	4	4	9	8	ade57339571d8eb0d128f8e6392ef875ea0981f6c30c8d3316f4ed60529ea0e2
astc_12x12_unorm.ktx2	4	32	9	8	ade57339571d8eb0d128f8e6392ef875ea0981f6c30c8d3316f4ed60529ea0e2
astc_12x12_unorm.ktx2	4	128	9	8	4cc7f02950d2dd466710f2f86de77b075517e038d5ee217345341a3f535266dd
astc_12x12_unorm.ktx2	4	512	9	8	ade57339571d8eb0d128f8e6392ef875ea0981f6c30c8d3316f4ed60529ea0e2
astc_12x12_unorm.ktx2	4	0	10	8	d115ccb65e13e3e54f90bd2a2ce5949f82be01ab71062859b9aa2d730cde2aa6
astc_12x12_unorm.ktx2	4	4	10	8	d115ccb65e13e3e54f90bd2a2ce5949f82be01ab71062859b9aa2d730cde2aa6
